func_type,substrate,focal_strain,solution,species,metabolite,flux
selection,3pg,A1R12,1,E3R18,3pg,-1
selection,3pg,A1R12,1,A1R12,ac,1
selection,3pg,A1R12,1,C2M11,ac,-1
selection,3pg,A1R12,1,E3R18,ac,-1
selection,3pg,A1R12,1,A1R12,acald,1
selection,3pg,A1R12,1,C2M11,acald,-1
selection,3pg,A1R12,1,E3R18,acald,1
selection,3pg,A1R12,1,C2M11,ala__D,1
selection,3pg,A1R12,1,E3R18,ala__D,-1
selection,3pg,A1R12,1,A1R12,ala__L,1
selection,3pg,A1R12,1,C2M11,ala__L,-1
selection,3pg,A1R12,1,E3R18,ala__L,1
selection,3pg,A1R12,1,A1R12,asp__L,1
selection,3pg,A1R12,1,C2M11,asp__L,-1
selection,3pg,A1R12,1,E3R18,asp__L,1
selection,3pg,A1R12,1,A1R12,co2,1
selection,3pg,A1R12,1,C2M11,co2,1
selection,3pg,A1R12,1,E3R18,co2,-1
selection,3pg,A1R12,1,A1R12,etoh,-1
selection,3pg,A1R12,1,C2M11,etoh,1
selection,3pg,A1R12,1,E3R18,etoh,-1
selection,3pg,A1R12,1,A1R12,glu__L,-1
selection,3pg,A1R12,1,C2M11,glu__L,-1
selection,3pg,A1R12,1,E3R18,glu__L,1
selection,3pg,A1R12,1,A1R12,gly,-1
selection,3pg,A1R12,1,C2M11,gly,-1
selection,3pg,A1R12,1,E3R18,gly,1
selection,3pg,A1R12,1,A1R12,gthox,-1
selection,3pg,A1R12,1,C2M11,gthox,-1
selection,3pg,A1R12,1,E3R18,gthox,1
selection,3pg,A1R12,1,A1R12,gthrd,1
selection,3pg,A1R12,1,C2M11,gthrd,1
selection,3pg,A1R12,1,E3R18,gthrd,-1
selection,3pg,A1R12,1,A1R12,h2o2,1
selection,3pg,A1R12,1,C2M11,h2o2,1
selection,3pg,A1R12,1,E3R18,h2o2,-1
selection,3pg,A1R12,1,A1R12,h2s,-1
selection,3pg,A1R12,1,C2M11,h2s,-1
selection,3pg,A1R12,1,E3R18,h2s,1
selection,3pg,A1R12,1,C2M11,his__L,-1
selection,3pg,A1R12,1,E3R18,his__L,1
selection,3pg,A1R12,1,A1R12,ile__L,1
selection,3pg,A1R12,1,C2M11,ile__L,-1
selection,3pg,A1R12,1,E3R18,ile__L,-1
selection,3pg,A1R12,1,A1R12,lys__L,-1
selection,3pg,A1R12,1,C2M11,lys__L,1
selection,3pg,A1R12,1,C2M11,pro__L,1
selection,3pg,A1R12,1,E3R18,pro__L,-1
selection,3pg,A1R12,1,A1R12,pyr,-1
selection,3pg,A1R12,1,C2M11,pyr,-1
selection,3pg,A1R12,1,E3R18,pyr,1
selection,3pg,A1R12,1,C2M11,ser__D,1
selection,3pg,A1R12,1,E3R18,ser__D,-1
selection,3pg,A1R12,1,A1R12,succ,-1
selection,3pg,A1R12,1,C2M11,succ,1
selection,3pg,B3M02,1,E3R18,3pg,-1
selection,3pg,B3M02,1,B3M02,ac,1
selection,3pg,B3M02,1,E3R18,ac,-1
selection,3pg,B3M02,1,B3M02,acald,-1
selection,3pg,B3M02,1,E3R18,acald,1
selection,3pg,B3M02,1,B3M02,ala__D,1
selection,3pg,B3M02,1,E3R18,ala__D,-1
selection,3pg,B3M02,1,B3M02,ala__L,-1
selection,3pg,B3M02,1,E3R18,ala__L,1
selection,3pg,B3M02,1,B3M02,arg__L,1
selection,3pg,B3M02,1,E3R18,arg__L,-1
selection,3pg,B3M02,1,B3M02,asp__L,-1
selection,3pg,B3M02,1,E3R18,asp__L,1
selection,3pg,B3M02,1,B3M02,co2,1
selection,3pg,B3M02,1,E3R18,co2,-1
selection,3pg,B3M02,1,B3M02,etoh,1
selection,3pg,B3M02,1,E3R18,etoh,-1
selection,3pg,B3M02,1,B3M02,glu__L,-1
selection,3pg,B3M02,1,E3R18,glu__L,1
selection,3pg,B3M02,1,B3M02,gly,-1
selection,3pg,B3M02,1,E3R18,gly,1
selection,3pg,B3M02,1,B3M02,h2s,-1
selection,3pg,B3M02,1,E3R18,h2s,1
selection,3pg,B3M02,1,B3M02,pro__L,1
selection,3pg,B3M02,1,E3R18,pro__L,-1
selection,3pg,B3M02,1,B3M02,pyr,-1
selection,3pg,B3M02,1,E3R18,pyr,1
selection,3pg,B3M02,1,B3M02,ser__D,1
selection,3pg,B3M02,1,E3R18,ser__D,-1
facilitation,3pg,D2R05,1,E3R18,3pg,-1
facilitation,3pg,D2R05,1,D2R05,ac,1
facilitation,3pg,D2R05,1,E3R18,ac,-1
facilitation,3pg,D2R05,1,D2R05,acald,-1
facilitation,3pg,D2R05,1,E3R18,acald,1
facilitation,3pg,D2R05,1,D2R05,ala__D,-1
facilitation,3pg,D2R05,1,E3R18,ala__D,1
facilitation,3pg,D2R05,1,D2R05,ala__L,1
facilitation,3pg,D2R05,1,E3R18,ala__L,-1
facilitation,3pg,D2R05,1,D2R05,asp__L,-1
facilitation,3pg,D2R05,1,E3R18,asp__L,1
facilitation,3pg,D2R05,1,D2R05,co2,1
facilitation,3pg,D2R05,1,E3R18,co2,-1
facilitation,3pg,D2R05,1,D2R05,etoh,1
facilitation,3pg,D2R05,1,E3R18,etoh,-1
facilitation,3pg,D2R05,1,D2R05,glu__L,1
facilitation,3pg,D2R05,1,E3R18,glu__L,-1
facilitation,3pg,D2R05,1,D2R05,gly,-1
facilitation,3pg,D2R05,1,E3R18,gly,1
facilitation,3pg,D2R05,1,D2R05,gthox,1
facilitation,3pg,D2R05,1,E3R18,gthox,-1
facilitation,3pg,D2R05,1,D2R05,gthrd,-1
facilitation,3pg,D2R05,1,E3R18,gthrd,1
facilitation,3pg,D2R05,1,D2R05,h2o2,-1
facilitation,3pg,D2R05,1,E3R18,h2o2,1
facilitation,3pg,D2R05,1,D2R05,h2s,-1
facilitation,3pg,D2R05,1,E3R18,h2s,1
facilitation,3pg,D2R05,1,D2R05,pro__L,1
facilitation,3pg,D2R05,1,E3R18,pro__L,-1
facilitation,3pg,D2R05,1,D2R05,pyr,-1
facilitation,3pg,D2R05,1,E3R18,pyr,1
facilitation,3pg,D2R05,1,D2R05,ser__D,1
facilitation,3pg,D2R05,1,E3R18,ser__D,-1
facilitation,3pg,E3M17,1,E3R18,3pg,-1
facilitation,3pg,E3M17,1,E3M17,ac,1
facilitation,3pg,E3M17,1,E3R18,ac,-1
facilitation,3pg,E3M17,1,E3M17,acald,-1
facilitation,3pg,E3M17,1,E3R18,acald,1
facilitation,3pg,E3M17,1,E3M17,ala__L,-1
facilitation,3pg,E3M17,1,E3R18,ala__L,1
facilitation,3pg,E3M17,1,E3M17,asp__L,-1
facilitation,3pg,E3M17,1,E3R18,asp__L,1
facilitation,3pg,E3M17,1,E3M17,co2,1
facilitation,3pg,E3M17,1,E3R18,co2,-1
facilitation,3pg,E3M17,1,E3M17,etoh,1
facilitation,3pg,E3M17,1,E3R18,etoh,-1
facilitation,3pg,E3M17,1,E3M17,glcur,-1
facilitation,3pg,E3M17,1,E3R18,glcur,1
facilitation,3pg,E3M17,1,E3M17,glu__L,-1
facilitation,3pg,E3M17,1,E3R18,glu__L,1
facilitation,3pg,E3M17,1,E3M17,h2s,-1
facilitation,3pg,E3M17,1,E3R18,h2s,1
facilitation,3pg,E3M17,1,E3M17,his__L,-1
facilitation,3pg,E3M17,1,E3R18,his__L,1
facilitation,3pg,E3M17,1,E3M17,pro__L,1
facilitation,3pg,E3M17,1,E3R18,pro__L,-1
facilitation,3pg,E3M17,1,E3M17,pyr,1
facilitation,3pg,E3M17,1,E3R18,pyr,-1
facilitation,3pg,E3R18,1,E3R18,3pg,-1
facilitation,3pg,E3R18,1,C2R02,ac,-1
facilitation,3pg,E3R18,1,E3R18,ac,1
facilitation,3pg,E3R18,1,C2R02,acald,-1
facilitation,3pg,E3R18,1,E3R18,acald,1
facilitation,3pg,E3R18,1,C2R02,ala__D,1
facilitation,3pg,E3R18,1,E3R18,ala__D,-1
facilitation,3pg,E3R18,1,C2R02,ala__L,-1
facilitation,3pg,E3R18,1,E3R18,ala__L,1
facilitation,3pg,E3R18,1,C2R02,asp__L,-1
facilitation,3pg,E3R18,1,E3R18,asp__L,1
facilitation,3pg,E3R18,1,C2R02,co2,1
facilitation,3pg,E3R18,1,E3R18,co2,-1
facilitation,3pg,E3R18,1,C2R02,etoh,1
facilitation,3pg,E3R18,1,E3R18,etoh,-1
facilitation,3pg,E3R18,1,C2R02,glu__L,-1
facilitation,3pg,E3R18,1,E3R18,glu__L,1
facilitation,3pg,E3R18,1,C2R02,gly,-1
facilitation,3pg,E3R18,1,E3R18,gly,1
facilitation,3pg,E3R18,1,C2R02,gthox,1
facilitation,3pg,E3R18,1,E3R18,gthox,-1
facilitation,3pg,E3R18,1,C2R02,gthrd,-1
facilitation,3pg,E3R18,1,E3R18,gthrd,1
facilitation,3pg,E3R18,1,C2R02,h2o2,-1
facilitation,3pg,E3R18,1,E3R18,h2o2,1
facilitation,3pg,E3R18,1,C2R02,h2s,-1
