substrate,focal_strain,solution,species,metabolite,flux
ac,A1R12,1,A1R12,ac,1
ac,A1R12,1,I3M07,ac,-1
ac,A1R12,1,A1R12,acald,1
ac,A1R12,1,I3M07,acald,-1
ac,A1R12,1,A1R12,ala__D,-1
ac,A1R12,1,I3M07,ala__D,1
ac,A1R12,1,A1R12,ala__L,1
ac,A1R12,1,I3M07,ala__L,-1
ac,A1R12,1,A1R12,arg__L,-1
ac,A1R12,1,I3M07,arg__L,1
ac,A1R12,1,A1R12,asp__L,-1
ac,A1R12,1,I3M07,asp__L,1
ac,A1R12,1,A1R12,co2,1
ac,A1R12,1,I3M07,co2,1
ac,A1R12,1,A1R12,etoh,-1
ac,A1R12,1,I3M07,etoh,1
ac,A1R12,1,A1R12,glu__L,-1
ac,A1R12,1,I3M07,glu__L,1
ac,A1R12,1,A1R12,gly,-1
ac,A1R12,1,I3M07,gly,1
ac,A1R12,1,A1R12,gua,-1
ac,A1R12,1,I3M07,gua,1
ac,A1R12,1,A1R12,h2s,-1
ac,A1R12,1,I3M07,h2s,1
ac,A1R12,1,A1R12,ile__L,1
ac,A1R12,1,I3M07,ile__L,-1
ac,A1R12,1,A1R12,leu__L,-1
ac,A1R12,1,I3M07,leu__L,1
ac,A1R12,1,A1R12,lys__L,-1
ac,A1R12,1,I3M07,lys__L,1
ac,A1R12,1,A1R12,pyr,-1
ac,A1R12,1,I3M07,pyr,1
ac,A1R12,1,A1R12,ser__L,-1
ac,A1R12,1,I3M07,ser__L,1
ac,A1R12,1,A1R12,thr__L,-1
ac,A1R12,1,I3M07,thr__L,1
ac,A1R12,1,A1R12,ura,-1
ac,A1R12,1,I3M07,ura,1
ac,A1R12,1,A1R12,val__L,-1
ac,A1R12,1,I3M07,val__L,1
ac,A1R12,10,A1R12,ac,1
ac,A1R12,10,E3R09,ac,-1
ac,A1R12,10,A1R12,acald,1
ac,A1R12,10,E3R09,acald,-1
ac,A1R12,10,A1R12,ala__D,-1
ac,A1R12,10,E3R09,ala__D,1
ac,A1R12,10,A1R12,ala__L,1
ac,A1R12,10,E3R09,ala__L,-1
ac,A1R12,10,A1R12,asp__L,-1
ac,A1R12,10,E3R09,asp__L,1
ac,A1R12,10,A1R12,co2,1
ac,A1R12,10,E3R09,co2,1
ac,A1R12,10,A1R12,etoh,-1
ac,A1R12,10,E3R09,etoh,1
ac,A1R12,10,A1R12,glu__L,1
ac,A1R12,10,E3R09,glu__L,-1
ac,A1R12,10,A1R12,gly,-1
ac,A1R12,10,E3R09,gly,1
ac,A1R12,10,A1R12,gthox,-1
ac,A1R12,10,E3R09,gthox,1
ac,A1R12,10,A1R12,gthrd,1
ac,A1R12,10,E3R09,gthrd,-1
ac,A1R12,10,A1R12,h2o2,1
ac,A1R12,10,E3R09,h2o2,-1
ac,A1R12,10,A1R12,h2s,1
ac,A1R12,10,E3R09,h2s,-1
ac,A1R12,10,A1R12,ile__L,-1
ac,A1R12,10,E3R09,ile__L,1
ac,A1R12,10,A1R12,leu__L,-1
ac,A1R12,10,E3R09,leu__L,1
ac,A1R12,10,A1R12,pyr,-1
ac,A1R12,10,E3R09,pyr,1
ac,A1R12,10,A1R12,val__L,-1
ac,A1R12,10,E3R09,val__L,1
ac,A1R12,11,A1R12,ac,1
ac,A1R12,11,m_1A01,ac,-1
ac,A1R12,11,A1R12,acald,-1
ac,A1R12,11,m_1A01,acald,1
ac,A1R12,11,A1R12,ala__D,-1
ac,A1R12,11,m_1A01,ala__D,1
ac,A1R12,11,A1R12,ala__L,1
ac,A1R12,11,m_1A01,ala__L,-1
ac,A1R12,11,A1R12,arg__L,-1
ac,A1R12,11,m_1A01,arg__L,1
ac,A1R12,11,A1R12,asp__L,-1
ac,A1R12,11,m_1A01,asp__L,1
ac,A1R12,11,A1R12,co2,1
ac,A1R12,11,m_1A01,co2,-1
ac,A1R12,11,A1R12,etoh,1
ac,A1R12,11,m_1A01,etoh,-1
ac,A1R12,11,A1R12,glu__L,1
ac,A1R12,11,m_1A01,glu__L,-1
ac,A1R12,11,A1R12,gly,-1
ac,A1R12,11,m_1A01,gly,1
ac,A1R12,11,A1R12,h2s,-1
ac,A1R12,11,m_1A01,h2s,1
ac,A1R12,11,A1R12,ile__L,-1
ac,A1R12,11,m_1A01,ile__L,1
ac,A1R12,11,A1R12,leu__L,1
ac,A1R12,11,m_1A01,leu__L,-1
ac,A1R12,11,A1R12,lys__L,-1
ac,A1R12,11,m_1A01,lys__L,1
ac,A1R12,11,A1R12,pyr,1
ac,A1R12,11,m_1A01,pyr,-1
ac,A1R12,11,A1R12,ser__L,-1
ac,A1R12,11,m_1A01,ser__L,1
ac,A1R12,11,A1R12,thr__L,-1
ac,A1R12,11,m_1A01,thr__L,1
ac,A1R12,11,A1R12,ura,-1
ac,A1R12,11,m_1A01,ura,1
ac,A1R12,11,A1R12,val__L,-1
ac,A1R12,11,m_1A01,val__L,1
ac,A1R12,12,A1R12,ac,1
ac,A1R12,12,m_6D03,ac,-1
ac,A1R12,12,A1R12,acald,-1
ac,A1R12,12,m_6D03,acald,1
ac,A1R12,12,A1R12,ala__D,-1
ac,A1R12,12,m_6D03,ala__D,1
ac,A1R12,12,A1R12,ala__L,1
ac,A1R12,12,m_6D03,ala__L,-1
ac,A1R12,12,A1R12,arg__L,-1
ac,A1R12,12,m_6D03,arg__L,1
ac,A1R12,12,A1R12,asp__L,-1
ac,A1R12,12,m_6D03,asp__L,1
ac,A1R12,12,A1R12,co2,1
ac,A1R12,12,m_6D03,co2,-1
ac,A1R12,12,A1R12,etoh,1
ac,A1R12,12,m_6D03,etoh,-1
ac,A1R12,12,A1R12,glu__L,1
ac,A1R12,12,m_6D03,glu__L,-1
ac,A1R12,12,A1R12,gly,-1
ac,A1R12,12,m_6D03,gly,1
ac,A1R12,12,A1R12,h2s,-1
ac,A1R12,12,m_6D03,h2s,1
ac,A1R12,12,A1R12,ile__L,-1
ac,A1R12,12,m_6D03,ile__L,1
ac,A1R12,12,A1R12,lac__D,-1
ac,A1R12,12,m_6D03,lac__D,1
ac,A1R12,12,A1R12,leu__L,-1
ac,A1R12,12,m_6D03,leu__L,1
ac,A1R12,12,A1R12,lys__L,-1
ac,A1R12,12,m_6D03,lys__L,1
ac,A1R12,12,A1R12,pyr,1
ac,A1R12,12,m_6D03,pyr,-1
ac,A1R12,12,A1R12,ser__L,-1
ac,A1R12,12,m_6D03,ser__L,1
ac,A1R12,12,A1R12,thr__L,-1
ac,A1R12,12,m_6D03,thr__L,1
ac,A1R12,12,A1R12,ura,-1
ac,A1R12,12,m_6D03,ura,1
ac,A1R12,12,A1R12,val__L,1
ac,A1R12,12,m_6D03,val__L,-1
ac,A1R12,13,A1R12,ac,1
ac,A1R12,13,C2M11,ac,-1
ac,A1R12,13,A1R12,acald,1
ac,A1R12,13,C2M11,acald,-1
ac,A1R12,13,A1R12,ala__D,1
ac,A1R12,13,C2M11,ala__D,-1
ac,A1R12,13,A1R12,ala__L,-1
ac,A1R12,13,C2M11,ala__L,1
ac,A1R12,13,A1R12,arg__L,-1
ac,A1R12,13,C2M11,arg__L,1
ac,A1R12,13,A1R12,asp__L,-1
ac,A1R12,13,C2M11,asp__L,1
ac,A1R12,13,A1R12,co2,1
ac,A1R12,13,C2M11,co2,1
ac,A1R12,13,A1R12,etoh,-1
